deney,model,konfig,veri_sayisi,gercek_ornek,seed,epochs,accuracy,precision_macro,recall_macro,f1_macro,azinlik_recall,cogunluk_recall,loss,sure_sn,cihaz,notlar
MLP_d0_1000,MLP,MLP_d0,1000,1000,27,10,89.24,89.21,89.0,89.02,83.25,98.17,0.3809,6.3,GPU,"MLP 2 katman, dropout yok (eski MLP_2_katman ile ayni)"
MLP_d0_3000,MLP,MLP_d0,3000,3000,27,10,91.62,91.6,91.54,91.51,90.98,97.01,0.2849,8.71,GPU,"MLP 2 katman, dropout yok (eski MLP_2_katman ile ayni)"
MLP_d0_5000,MLP,MLP_d0,5000,5000,27,10,93.12,93.07,93.06,93.05,92.31,97.53,0.2433,9.41,GPU,"MLP 2 katman, dropout yok (eski MLP_2_katman ile ayni)"
MLP_d0_10000,MLP,MLP_d0,10000,10000,27,10,95.0,95.08,94.91,94.95,93.05,98.05,0.1699,12.92,GPU,"MLP 2 katman, dropout yok (eski MLP_2_katman ile ayni)"
MLP_d0_60000,MLP,MLP_d0,60000,60000,27,10,97.84,97.83,97.83,97.83,97.88,98.97,0.0805,46.56,GPU,"MLP 2 katman, dropout yok (eski MLP_2_katman ile ayni)"
MLP_d03_1000,MLP,MLP_d03,1000,1000,27,10,88.75,88.65,88.54,88.51,85.13,97.41,0.3923,6.41,GPU,MLP 2 katman + dropout 0.3
MLP_d03_3000,MLP,MLP_d03,3000,3000,27,10,91.88,91.87,91.81,91.77,90.43,97.65,0.2681,7.93,GPU,MLP 2 katman + dropout 0.3
MLP_d03_5000,MLP,MLP_d03,5000,5000,27,10,93.6,93.53,93.53,93.52,92.4,97.47,0.2117,9.33,GPU,MLP 2 katman + dropout 0.3
MLP_d03_10000,MLP,MLP_d03,10000,10000,27,10,95.4,95.4,95.32,95.35,93.91,98.43,0.1456,13.26,GPU,MLP 2 katman + dropout 0.3
MLP_d03_60000,MLP,MLP_d03,60000,60000,27,10,97.95,97.95,97.93,97.94,97.46,99.15,0.0676,47.06,GPU,MLP 2 katman + dropout 0.3
CNN_d0_1000,CNN,CNN_d0,1000,1000,27,10,87.63,88.09,87.52,87.52,85.69,96.53,0.4176,7.5,GPU,"CNN 2 conv katman, dropout yok (eski CNN_dropout_0 ile ayni)"
CNN_d0_3000,CNN,CNN_d0,3000,3000,27,10,94.87,94.83,94.84,94.81,94.35,98.98,0.1703,8.37,GPU,"CNN 2 conv katman, dropout yok (eski CNN_dropout_0 ile ayni)"
CNN_d0_5000,CNN,CNN_d0,5000,5000,27,10,96.18,96.17,96.16,96.16,95.83,98.98,0.1186,10.62,GPU,"CNN 2 conv katman, dropout yok (eski CNN_dropout_0 ile ayni)"
CNN_d0_10000,CNN,CNN_d0,10000,10000,27,10,97.63,97.66,97.61,97.62,97.37,99.19,0.0708,14.97,GPU,"CNN 2 conv katman, dropout yok (eski CNN_dropout_0 ile ayni)"
CNN_d0_60000,CNN,CNN_d0,60000,60000,27,10,98.98,98.98,98.97,98.97,98.81,99.21,0.0337,56.54,GPU,"CNN 2 conv katman, dropout yok (eski CNN_dropout_0 ile ayni)"
CNN_d03_1000,CNN,CNN_d03,1000,1000,27,10,88.7,88.82,88.56,88.54,85.93,97.42,0.3992,7.68,GPU,CNN 2 conv katman + dropout 0.3
CNN_d03_3000,CNN,CNN_d03,3000,3000,27,10,95.34,95.3,95.32,95.3,95.47,98.89,0.154,9.08,GPU,CNN 2 conv katman + dropout 0.3
CNN_d03_5000,CNN,CNN_d03,5000,5000,27,10,96.06,96.07,96.04,96.04,95.83,99.15,0.1201,10.59,GPU,CNN 2 conv katman + dropout 0.3
CNN_d03_10000,CNN,CNN_d03,10000,10000,27,10,97.74,97.73,97.74,97.74,98.04,99.01,0.0681,15.77,GPU,CNN 2 conv katman + dropout 0.3
CNN_d03_60000,CNN,CNN_d03,60000,60000,27,10,99.12,99.12,99.11,99.11,98.97,99.71,0.0271,67.37,GPU,CNN 2 conv katman + dropout 0.3
