epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,0.6913,92.3,92.55,92.71,-0.25
2,0.2711,94.8,93.55,93.67,1.25
3,0.2159,96.09,93.59,93.72,2.5
4,0.1771,97.18,93.94,94.06,3.24
5,0.1473,97.76,93.69,93.8,4.07
6,0.1203,98.46,93.91,94.03,4.55
7,0.1052,98.93,93.98,94.09,4.95
8,0.0839,99.21,93.76,93.9,5.44
9,0.0758,99.65,94.05,94.16,5.6
10,0.0622,99.51,93.44,93.56,6.07
11,0.0547,99.76,94.08,94.17,5.68
12,0.0501,99.81,93.98,94.05,5.84
13,0.0488,99.84,93.87,94.0,5.97
14,0.0353,99.88,94.16,94.26,5.73
15,0.0369,99.86,94.12,94.23,5.74
