epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,0.6688,91.77,92.27,92.39,-0.5
2,0.2665,94.1,93.09,93.21,1.01
3,0.2196,95.48,93.48,93.58,2.01
4,0.1809,96.06,93.55,93.67,2.51
5,0.1576,97.0,93.69,93.8,3.31
6,0.1358,97.75,93.98,94.09,3.77
7,0.1114,98.0,93.87,93.97,4.13
8,0.0986,98.48,93.51,93.63,4.96
9,0.0854,99.06,93.8,93.89,5.27
10,0.0724,99.35,93.76,93.87,5.59
11,0.0699,99.32,93.69,93.78,5.63
12,0.0568,99.6,93.55,93.67,6.05
13,0.0501,99.32,93.01,93.12,6.31
14,0.0447,99.69,93.37,93.48,6.32
15,0.0387,99.72,93.16,93.26,6.57
