epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,0.7803,83.38,84.57,84.59,-1.19
2,0.5007,85.71,86.81,86.92,-1.11
3,0.4609,84.91,86.14,86.25,-1.22
4,0.4461,86.93,87.24,87.39,-0.32
5,0.439,86.73,86.56,86.67,0.17
6,0.4214,86.92,86.89,87.06,0.03
7,0.4277,86.93,86.89,87.06,0.05
8,0.4061,85.71,86.21,86.31,-0.49
9,0.4143,86.58,86.89,86.96,-0.31
10,0.406,87.11,87.1,87.21,0.01
11,0.3983,87.61,87.38,87.56,0.23
12,0.4077,86.88,86.92,87.02,-0.04
13,0.4007,86.73,86.24,86.31,0.49
14,0.3917,85.67,86.07,86.0,-0.4
15,0.3988,87.82,87.46,87.61,0.36
