epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,0.375,93.03,91.63,91.73,1.4
2,0.2138,95.64,93.23,93.34,2.41
3,0.1609,95.77,92.34,92.46,3.43
4,0.129,97.95,93.44,93.57,4.51
5,0.11,98.59,93.55,93.64,5.04
6,0.085,98.0,92.23,92.34,5.77
7,0.0715,98.96,92.66,92.77,6.3
8,0.0567,99.47,93.16,93.27,6.31
9,0.0497,99.25,93.34,93.44,5.92
10,0.0598,99.23,92.84,92.95,6.4
11,0.0473,99.21,92.41,92.57,6.8
12,0.0379,99.45,92.87,93.0,6.58
13,0.0382,99.74,93.37,93.48,6.37
14,0.0315,99.55,93.23,93.3,6.32
15,0.0346,99.65,93.09,93.23,6.57
