epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,1.002,64.97,66.46,66.51,-1.49
2,0.7595,71.38,72.24,72.15,-0.86
3,0.6486,79.7,79.62,79.38,0.09
4,0.5943,81.78,81.43,81.46,0.35
5,0.5375,82.28,81.9,81.86,0.38
6,0.5142,78.22,77.26,77.31,0.96
7,0.4899,84.05,82.32,82.4,1.73
8,0.446,86.21,85.39,85.43,0.82
9,0.4342,87.62,86.56,86.67,1.06
10,0.4198,86.24,85.46,85.6,0.78
11,0.4011,86.51,85.64,85.68,0.87
12,0.3864,85.7,83.75,83.63,1.95
13,0.3662,86.99,85.99,86.03,0.99
14,0.3555,89.26,86.96,86.95,2.3
15,0.3297,84.1,80.72,80.73,3.38
