epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,1.2268,67.11,65.47,65.03,1.64
2,0.9198,73.66,72.67,72.55,1.0
3,0.7921,76.04,74.95,74.86,1.1
4,0.7194,75.5,74.16,74.45,1.34
5,0.6543,79.56,79.04,79.04,0.52
6,0.6229,78.98,77.58,77.78,1.4
7,0.5955,77.57,76.16,76.15,1.42
8,0.5728,80.65,79.01,79.02,1.64
9,0.5508,81.88,80.08,79.97,1.8
10,0.5382,82.59,81.0,80.94,1.58
11,0.499,84.05,81.79,81.89,2.26
12,0.4963,85.6,83.11,83.14,2.49
13,0.4871,85.47,82.79,82.93,2.69
14,0.4688,87.29,84.11,84.14,3.19
15,0.4505,86.87,83.82,83.88,3.05
