epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,1.1263,68.07,67.5,67.35,0.57
2,0.8004,74.7,74.41,74.3,0.29
3,0.664,77.37,75.98,76.02,1.39
4,0.571,72.63,70.67,70.88,1.96
5,0.5271,83.4,80.54,80.57,2.86
6,0.4744,83.43,80.11,80.3,3.32
7,0.4448,83.27,79.76,79.81,3.51
8,0.4108,86.56,82.79,82.84,3.77
9,0.3859,87.84,82.97,82.94,4.88
10,0.3649,85.59,81.33,81.13,4.26
11,0.3459,89.78,84.14,84.22,5.63
12,0.3108,90.86,84.03,84.14,6.83
13,0.3032,92.19,84.18,84.26,8.01
14,0.2865,93.11,85.25,85.31,7.86
15,0.2573,92.62,83.61,83.76,9.01
