epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,1.1521,68.15,67.0,66.79,1.15
2,0.8269,75.71,75.23,75.2,0.48
3,0.6903,75.52,74.13,74.19,1.39
4,0.5967,75.76,74.95,75.24,0.81
5,0.5476,83.04,81.04,81.04,2.0
6,0.4919,84.65,82.0,82.15,2.65
7,0.4566,80.39,78.3,78.23,2.09
8,0.4372,86.91,82.93,83.04,3.98
9,0.4022,88.17,84.03,84.08,4.14
10,0.3821,86.72,82.68,82.52,4.04
11,0.355,90.54,85.28,85.36,5.26
12,0.3161,91.68,85.1,85.17,6.58
13,0.3131,92.46,85.28,85.36,7.17
14,0.283,91.53,83.46,83.53,8.07
15,0.2682,93.72,85.67,85.79,8.05
