epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,1.0676,71.29,68.57,67.59,2.72
2,0.7186,80.48,77.8,77.87,2.68
3,0.5534,85.83,80.86,80.88,4.97
4,0.4371,80.74,75.48,75.78,5.26
5,0.331,90.19,81.18,81.24,9.01
6,0.2417,95.59,82.68,82.79,12.91
7,0.1576,94.67,79.94,79.9,14.74
8,0.1011,98.14,82.25,82.25,15.89
9,0.0659,98.9,81.9,81.94,17.0
10,0.0655,98.77,80.9,81.09,17.87
11,0.0471,99.29,82.04,82.07,17.25
12,0.0435,99.1,82.0,82.21,17.1
13,0.0409,99.63,82.47,82.47,17.17
14,0.025,99.78,83.07,83.06,16.71
15,0.013,99.78,82.68,82.69,17.1
