epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki
1,1.0693,70.79,69.28,69.17,1.51
2,0.7158,81.18,78.44,78.39,2.74
3,0.5488,85.74,81.68,81.64,4.06
4,0.4303,83.42,78.23,78.42,5.19
5,0.3265,92.63,82.75,82.79,9.88
6,0.2297,96.02,82.97,83.05,13.05
7,0.1534,96.38,81.79,81.79,14.59
8,0.0952,98.03,81.82,81.81,16.21
9,0.0614,98.18,82.79,82.88,15.4
10,0.079,99.55,83.78,83.84,15.76
11,0.0287,99.63,82.68,82.67,16.95
12,0.0418,99.72,82.32,82.43,17.4
13,0.0185,99.8,82.82,82.84,16.98
14,0.0178,99.39,81.5,81.46,17.88
15,0.028,99.08,82.22,82.41,16.87
