epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki,lr
1,1.7492,65.43,65.43,64.93,0.0,0.001
2,0.843,70.94,70.17,69.03,0.77,0.001
3,0.7185,78.08,77.16,77.1,0.93,0.001
4,0.6313,80.82,79.58,79.6,1.25,0.001
5,0.5692,81.37,79.65,79.44,1.72,0.001
6,0.5355,83.79,83.11,83.24,0.68,0.001
7,0.5116,84.29,82.82,82.9,1.47,0.001
8,0.4966,81.65,79.86,79.55,1.79,0.001
9,0.47,82.06,79.9,79.56,2.16,0.001
10,0.4728,81.9,80.15,80.03,1.75,0.001
11,0.4492,86.67,83.78,83.82,2.88,0.001
12,0.432,85.71,82.11,82.07,3.6,0.001
13,0.4243,88.15,84.82,84.95,3.33,0.001
14,0.4104,85.87,82.86,83.01,3.02,0.001
15,0.3973,85.61,83.29,83.42,2.32,0.001
