epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki,lr
1,1.8962,61.98,60.44,58.76,1.54,0.001
2,1.0469,67.24,66.0,65.82,1.24,0.001
3,0.9577,70.9,69.53,68.16,1.37,0.001
4,0.8667,76.59,75.34,75.23,1.25,0.001
5,0.7851,76.98,74.98,74.64,2.0,0.001
6,0.7316,79.7,79.15,79.02,0.55,0.001
7,0.7131,77.89,77.33,77.51,0.56,0.001
8,0.6546,81.67,79.47,79.32,2.2,0.001
9,0.6368,82.69,81.22,81.24,1.47,0.001
10,0.6378,81.25,80.68,80.67,0.57,0.001
11,0.6043,83.96,81.72,81.65,2.24,0.001
12,0.5937,84.58,83.46,83.47,1.12,0.001
13,0.5825,80.88,79.22,79.12,1.66,0.001
14,0.5677,85.32,84.0,83.99,1.32,0.001
15,0.5461,84.11,83.29,83.24,0.83,0.001
