epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki,lr
1,1.0962,60.55,59.98,56.73,0.58,0.001
2,0.8667,67.62,67.36,66.26,0.26,0.001
3,0.7778,71.55,72.95,72.67,-1.4,0.001
4,0.7222,78.78,78.97,78.99,-0.2,0.001
5,0.6776,77.8,77.01,76.85,0.78,0.001
6,0.6496,80.04,79.9,79.84,0.14,0.001
7,0.6148,77.53,77.08,75.82,0.44,0.001
8,0.5968,80.27,80.11,80.05,0.16,0.001
9,0.5781,78.97,78.8,78.91,0.18,0.001
10,0.5579,81.16,81.4,81.58,-0.23,0.001
11,0.5499,83.35,82.04,82.0,1.31,0.001
12,0.5309,76.23,75.16,73.33,1.07,0.001
13,0.5228,80.99,80.26,80.08,0.74,0.001
14,0.5062,82.73,83.21,83.23,-0.48,0.001
15,0.4999,84.99,85.25,85.29,-0.25,0.001
