epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki,lr
1,1.1058,57.27,55.84,51.44,1.42,0.001
2,0.8727,68.7,68.42,67.68,0.28,0.001
3,0.7763,75.15,75.55,75.73,-0.4,0.001
4,0.7237,78.68,78.33,78.25,0.35,0.001
5,0.6743,79.29,77.94,77.89,1.35,0.001
6,0.6537,78.06,76.94,76.61,1.12,0.001
7,0.625,79.79,79.22,78.83,0.57,0.001
8,0.6061,72.23,72.81,72.14,-0.58,0.001
9,0.5794,80.45,80.93,81.16,-0.48,0.001
10,0.5511,75.9,74.55,74.51,1.35,0.001
11,0.5591,75.8,74.41,74.01,1.39,0.001
12,0.5345,81.44,81.25,81.18,0.18,0.001
13,0.5247,81.16,81.22,81.12,-0.06,0.001
14,0.5095,81.97,81.61,81.94,0.36,0.001
15,0.5053,83.33,82.32,82.21,1.0,0.001
