epoch,train_loss,train_acc,val_acc,val_f1,overfit_farki,lr
1,1.3347,62.89,62.94,62.19,-0.05,0.000458
2,0.9691,69.0,68.89,68.38,0.11,0.001312
3,0.8686,64.84,66.22,63.8,-1.38,0.002283
4,0.8131,66.41,67.11,65.16,-0.69,0.002915
5,0.7644,62.12,63.26,61.26,-1.14,0.002983
6,0.6953,71.18,70.14,66.99,1.04,0.00285
7,0.6523,81.33,81.18,81.27,0.15,0.002598
8,0.6078,80.43,80.61,80.56,-0.18,0.002248
9,0.56,75.7,76.16,76.49,-0.45,0.001831
10,0.5214,83.71,83.25,83.36,0.46,0.001385
11,0.4898,84.6,84.25,84.3,0.35,0.00095
12,0.4581,84.82,84.0,84.18,0.83,0.000563
13,0.4306,86.95,86.85,86.97,0.1,0.000259
14,0.4133,87.21,87.17,87.24,0.04,6.6e-05
15,0.3961,87.42,87.42,87.52,0.0,0.0
