deney,sinif,test_destek,precision,recall,f1
baseline_cnn,buildings,437,70.64,85.35,77.31
baseline_cnn,forest,474,96.25,86.71,91.23
baseline_cnn,glacier,553,80.27,75.05,77.57
baseline_cnn,mountain,525,76.77,80.57,78.62
baseline_cnn,sea,510,84.31,82.16,83.22
baseline_cnn,street,501,81.04,77.64,79.31
aug_yok,buildings,437,77.95,78.49,78.22
aug_yok,forest,474,94.44,93.25,93.84
aug_yok,glacier,553,82.72,72.69,77.38
aug_yok,mountain,525,78.37,78.67,78.52
aug_yok,sea,510,82.67,86.08,84.34
aug_yok,street,501,78.1,85.43,81.6
aug_hafif,buildings,437,77.67,88.33,82.66
aug_hafif,forest,474,98.35,87.97,92.87
aug_hafif,glacier,553,83.37,77.94,80.56
aug_hafif,mountain,525,82.67,79.05,80.82
aug_hafif,sea,510,82.23,88.04,85.04
aug_hafif,street,501,80.74,82.83,81.77
aug_orta,buildings,437,76.38,88.79,82.12
aug_orta,forest,474,96.12,94.09,95.1
aug_orta,glacier,553,84.28,77.58,80.79
aug_orta,mountain,525,82.5,79.05,80.74
aug_orta,sea,510,81.9,87.84,84.77
aug_orta,street,501,87.21,81.64,84.33
aug_guclu,buildings,437,71.06,87.64,78.48
aug_guclu,forest,474,96.17,95.36,95.76
aug_guclu,glacier,553,88.25,69.26,77.61
aug_guclu,mountain,525,79.65,78.29,78.96
aug_guclu,sea,510,81.73,85.1,83.38
aug_guclu,street,501,82.94,84.43,83.68
mim_bn,buildings,437,72.3,87.19,79.05
mim_bn,forest,474,97.51,82.7,89.5
mim_bn,glacier,553,78.95,81.37,80.14
mim_bn,mountain,525,78.65,84.19,81.32
mim_bn,sea,510,92.6,71.18,80.49
mim_bn,street,501,78.06,85.23,81.49
mim_bn_dropout,buildings,437,75.25,86.96,80.68
mim_bn_dropout,forest,474,93.32,97.26,95.25
mim_bn_dropout,glacier,553,86.27,68.17,76.16
mim_bn_dropout,mountain,525,84.01,71.05,76.99
mim_bn_dropout,sea,510,72.71,88.82,79.96
mim_bn_dropout,street,501,86.52,85.83,86.17
mim_gap,buildings,437,91.62,70.02,79.38
mim_gap,forest,474,95.07,97.68,96.36
mim_gap,glacier,553,84.89,77.22,80.87
mim_gap,mountain,525,77.94,82.1,79.96
mim_gap,sea,510,81.87,87.65,84.66
mim_gap,street,501,78.86,90.82,84.42
mim_gap_adamw,buildings,437,92.64,63.39,75.27
mim_gap_adamw,forest,474,91.57,98.52,94.92
mim_gap_adamw,glacier,553,84.92,74.32,79.27
mim_gap_adamw,mountain,525,73.77,85.71,79.3
mim_gap_adamw,sea,510,88.6,80.78,84.51
mim_gap_adamw,street,501,73.42,92.61,81.91
mim_gap_onecycle,buildings,437,86.03,78.95,82.34
mim_gap_onecycle,forest,474,95.68,98.1,96.87
mim_gap_onecycle,glacier,553,82.16,84.09,83.11
mim_gap_onecycle,mountain,525,84.6,78.48,81.42
mim_gap_onecycle,sea,510,84.67,88.82,86.7
mim_gap_onecycle,street,501,84.0,88.02,85.96
ResNet18_scratch,buildings,437,74.75,85.35,79.7
ResNet18_scratch,forest,474,95.78,81.43,88.03
ResNet18_scratch,glacier,553,84.65,59.86,70.13
ResNet18_scratch,mountain,525,85.02,70.29,76.96
ResNet18_scratch,sea,510,66.3,94.9,78.06
ResNet18_scratch,street,501,79.74,86.43,82.95
ResNet18_donuk,buildings,437,88.06,86.04,87.04
ResNet18_donuk,forest,474,96.65,97.47,97.06
ResNet18_donuk,glacier,553,82.33,76.67,79.4
ResNet18_donuk,mountain,525,76.94,77.52,77.23
ResNet18_donuk,sea,510,86.42,89.8,88.08
ResNet18_donuk,street,501,87.91,91.42,89.63
ResNet18_finetune,buildings,437,91.65,92.91,92.27
ResNet18_finetune,forest,474,99.36,98.95,99.15
ResNet18_finetune,glacier,553,89.42,87.16,88.28
ResNet18_finetune,mountain,525,87.97,89.14,88.55
ResNet18_finetune,sea,510,95.15,96.08,95.61
ResNet18_finetune,street,501,93.99,93.61,93.8
MobileNetV2_finetune,buildings,437,91.01,94.97,92.95
MobileNetV2_finetune,forest,474,98.53,98.95,98.74
MobileNetV2_finetune,glacier,553,88.85,86.44,87.63
MobileNetV2_finetune,mountain,525,88.8,86.1,87.43
MobileNetV2_finetune,sea,510,94.17,98.24,96.16
MobileNetV2_finetune,street,501,95.09,92.81,93.94
EfficientNetB0_ft,buildings,437,94.24,93.59,93.92
EfficientNetB0_ft,forest,474,98.75,99.79,99.27
EfficientNetB0_ft,glacier,553,92.31,88.97,90.61
EfficientNetB0_ft,mountain,525,90.91,91.43,91.17
EfficientNetB0_ft,sea,510,95.77,97.65,96.7
EfficientNetB0_ft,street,501,94.47,95.41,94.94
