epoch,train_loss,val_iou,val_dice,val_loss
1,0.5201,54.59,70.63,0.4426
2,0.4797,57.35,72.89,0.4166
3,0.458,60.35,75.27,0.3959
4,0.4384,61.05,75.81,0.3783
5,0.4201,59.68,74.75,0.3922
6,0.4243,62.47,76.9,0.3672
7,0.4017,64.52,78.44,0.3429
8,0.3977,64.62,78.51,0.3473
9,0.3886,66.05,79.55,0.3308
10,0.3834,66.25,79.7,0.335
11,0.3868,65.75,79.33,0.3411
12,0.3763,66.31,79.74,0.3301
13,0.3705,68.14,81.05,0.3166
14,0.366,64.91,78.72,0.3311
15,0.3655,68.44,81.26,0.3118
16,0.3574,68.48,81.29,0.3109
17,0.3531,67.42,80.54,0.3143
18,0.3563,67.58,80.65,0.3154
19,0.3476,64.46,78.39,0.3343
20,0.3467,69.27,81.85,0.2975
