epoch,train_loss,val_iou,val_dice,val_loss
1,0.4901,55.27,71.19,0.4391
2,0.4403,58.75,74.01,0.4086
3,0.4143,59.73,74.79,0.3926
4,0.4013,61.01,75.78,0.3835
5,0.3854,60.0,75.0,0.393
6,0.3796,57.92,73.35,0.3931
7,0.3801,65.65,79.26,0.3313
8,0.3594,64.13,78.15,0.3491
9,0.3561,65.96,79.49,0.3269
10,0.3472,65.48,79.14,0.3418
11,0.3433,64.82,78.66,0.3407
12,0.3363,67.21,80.39,0.3122
13,0.3311,68.56,81.35,0.3079
14,0.3329,66.96,80.21,0.3243
15,0.3265,69.69,82.14,0.3015
16,0.313,68.5,81.31,0.2985
17,0.3202,69.67,82.13,0.2981
18,0.3112,70.44,82.66,0.2878
19,0.3116,67.46,80.57,0.3219
20,0.3093,70.35,82.6,0.2829
