epoch,train_loss,val_iou,val_dice,val_loss
1,0.5109,45.35,62.4,0.495
2,0.4671,59.02,74.23,0.4206
3,0.4305,61.17,75.91,0.3918
4,0.4132,61.56,76.21,0.3772
5,0.3978,61.87,76.44,0.3709
6,0.3803,58.62,73.91,0.3852
7,0.3756,65.65,79.27,0.3353
8,0.3653,60.17,75.14,0.3808
9,0.3651,66.25,79.7,0.3295
10,0.3511,66.63,79.97,0.3258
11,0.3459,68.23,81.11,0.314
12,0.3442,67.24,80.41,0.318
13,0.34,69.27,81.85,0.3019
14,0.3383,68.6,81.38,0.3021
15,0.3284,69.77,82.2,0.3
16,0.327,69.13,81.75,0.2979
17,0.3302,69.84,82.24,0.289
18,0.3235,71.22,83.19,0.2789
19,0.3175,66.4,79.81,0.3248
20,0.3219,69.87,82.27,0.2852
