epoch,train_loss,val_iou,val_dice,val_loss
1,0.4934,55.36,71.26,0.4495
2,0.4412,58.82,74.07,0.4049
3,0.4066,60.73,75.57,0.3804
4,0.3852,60.58,75.45,0.3776
5,0.3789,62.67,77.05,0.358
6,0.3621,66.01,79.52,0.3315
7,0.3519,65.66,79.27,0.3274
8,0.3446,65.32,79.02,0.3386
9,0.3392,65.68,79.28,0.3279
10,0.3317,68.94,81.62,0.3067
11,0.3279,67.76,80.78,0.3181
12,0.3185,66.02,79.54,0.3208
13,0.3183,70.38,82.61,0.2898
14,0.3142,69.47,81.98,0.2989
15,0.3099,71.52,83.4,0.2873
16,0.2992,71.33,83.27,0.2786
17,0.3069,69.36,81.91,0.2928
18,0.2975,72.54,84.09,0.2683
19,0.2905,70.88,82.96,0.2876
20,0.2945,70.13,82.44,0.286
