epoch,train_loss,val_iou,val_dice,val_loss
1,0.4824,54.72,70.73,0.4121
2,0.4381,58.16,73.54,0.3889
3,0.4077,60.74,75.57,0.3707
4,0.3895,47.37,64.28,0.4266
5,0.3856,62.39,76.84,0.3517
6,0.3723,58.04,73.45,0.3676
7,0.3695,63.47,77.66,0.344
8,0.3501,64.64,78.52,0.3481
9,0.3612,63.31,77.54,0.3307
10,0.3385,65.66,79.27,0.3372
11,0.3329,65.31,79.01,0.315
12,0.3253,61.47,76.14,0.3179
13,0.3182,68.88,81.58,0.2992
14,0.3134,68.36,81.21,0.2884
15,0.3048,69.26,81.84,0.2822
16,0.2965,68.85,81.55,0.2827
17,0.2995,68.81,81.52,0.2795
18,0.2936,71.04,83.07,0.2643
19,0.2866,67.4,80.53,0.2992
20,0.2876,69.35,81.9,0.2714
