epoch,train_loss,val_iou,val_dice,val_loss
1,0.5159,68.99,81.65,0.3707
2,0.3444,74.46,85.36,0.2854
3,0.2886,75.3,85.91,0.2625
4,0.2611,77.03,87.02,0.241
5,0.2401,77.27,87.18,0.2342
6,0.2264,77.87,87.56,0.2259
7,0.2168,78.3,87.83,0.2239
8,0.2066,77.55,87.36,0.2234
9,0.2013,77.87,87.56,0.2228
10,0.1888,78.48,87.94,0.2195
11,0.1823,79.14,88.36,0.2133
12,0.1781,78.98,88.26,0.2134
13,0.175,78.93,88.23,0.2107
14,0.1688,79.45,88.55,0.2069
15,0.1618,79.76,88.74,0.2064
16,0.1572,80.34,89.1,0.1972
17,0.1549,79.69,88.7,0.212
18,0.1532,79.88,88.81,0.2065
19,0.1545,78.73,88.1,0.2149
20,0.1465,80.23,89.03,0.199
