epoch,train_loss,val_iou,val_dice,val_loss
1,0.4727,68.29,81.16,0.3429
2,0.3361,71.09,83.1,0.2978
3,0.2969,72.97,84.38,0.2803
4,0.2713,75.43,86.0,0.249
5,0.2559,76.36,86.6,0.2385
6,0.2391,77.25,87.16,0.2284
7,0.2262,78.0,87.64,0.223
8,0.2174,78.39,87.88,0.222
9,0.216,78.84,88.17,0.2114
10,0.2034,78.46,87.93,0.2185
11,0.2016,77.45,87.3,0.2212
12,0.1951,78.95,88.23,0.2147
13,0.1905,79.23,88.41,0.2096
14,0.1838,78.23,87.79,0.2154
15,0.1817,78.66,88.06,0.216
16,0.1761,77.97,87.62,0.2167
17,0.173,79.0,88.27,0.2144
18,0.1713,78.56,87.99,0.2182
19,0.1667,79.0,88.27,0.2156
20,0.1704,77.86,87.55,0.2209
