epoch,train_loss,val_iou,val_dice,val_loss
1,0.4559,69.27,81.84,0.3551
2,0.3298,72.98,84.38,0.2871
3,0.2847,76.33,86.57,0.2506
4,0.2589,76.0,86.37,0.2443
5,0.2341,77.12,87.08,0.2322
6,0.2294,77.83,87.53,0.2244
7,0.2208,79.09,88.32,0.2137
8,0.2085,76.57,86.73,0.2276
9,0.2029,77.82,87.52,0.2183
10,0.1952,77.51,87.33,0.2185
11,0.193,79.15,88.36,0.2103
12,0.1907,78.26,87.8,0.2157
13,0.1889,80.11,88.96,0.2053
14,0.1746,79.89,88.82,0.2032
15,0.173,78.5,87.96,0.22
16,0.1741,79.28,88.44,0.2015
17,0.165,80.73,89.34,0.1978
18,0.1658,77.66,87.42,0.2166
19,0.1679,79.64,88.66,0.2103
20,0.1584,79.79,88.76,0.2003
