epoch,train_loss,val_iou,val_dice,val_loss
1,0.4848,47.29,64.21,0.6659
2,0.4368,55.55,71.43,0.4306
3,0.4061,58.78,74.04,0.4351
4,0.3914,64.3,78.27,0.3513
5,0.3861,63.34,77.56,0.3695
6,0.3693,65.36,79.05,0.3418
7,0.3609,63.85,77.94,0.3574
8,0.3534,66.03,79.54,0.3302
9,0.3473,67.48,80.58,0.3146
10,0.3354,68.48,81.29,0.3111
11,0.336,66.96,80.21,0.3256
12,0.3301,69.42,81.95,0.3071
13,0.3264,68.49,81.3,0.3087
14,0.3298,67.87,80.86,0.3069
15,0.3118,70.01,82.36,0.2944
16,0.3119,63.35,77.56,0.3574
17,0.3165,70.37,82.61,0.3017
18,0.3085,71.86,83.63,0.2804
19,0.3057,70.2,82.49,0.2863
20,0.3048,68.84,81.55,0.3124
