epoch,train_loss,val_iou,val_dice,val_loss
1,0.4823,46.69,63.66,0.4394
2,0.4386,57.97,73.4,0.3969
3,0.4053,57.16,72.74,0.3713
4,0.4045,57.89,73.33,0.3898
5,0.3873,61.01,75.79,0.3537
6,0.3731,57.57,73.07,0.372
7,0.3644,58.31,73.66,0.35
8,0.3513,65.61,79.24,0.3257
9,0.3455,63.84,77.93,0.3177
10,0.3346,65.24,78.96,0.3306
11,0.3291,67.92,80.9,0.2946
12,0.3225,64.24,78.23,0.3084
13,0.319,69.34,81.9,0.2888
14,0.3142,65.65,79.27,0.2968
15,0.3055,68.99,81.65,0.2917
16,0.2992,70.28,82.55,0.2764
17,0.2992,69.12,81.74,0.2756
18,0.2971,70.85,82.94,0.2692
19,0.2903,68.35,81.2,0.2948
20,0.2843,69.68,82.13,0.2684
