epoch,train_loss,val_iou,val_dice,val_loss
1,0.4827,55.31,71.22,0.4607
2,0.4382,58.52,73.83,0.4028
3,0.3993,54.87,70.86,0.4149
4,0.391,62.72,77.09,0.3647
5,0.368,65.19,78.93,0.3458
6,0.359,61.8,76.39,0.3669
7,0.3559,62.75,77.11,0.3534
8,0.3439,66.11,79.6,0.3273
9,0.3392,67.69,80.73,0.3115
10,0.3314,57.3,72.85,0.5102
11,0.3243,68.42,81.25,0.3029
12,0.3141,66.14,79.62,0.3313
13,0.3109,69.11,81.73,0.3049
14,0.3008,65.92,79.46,0.3085
15,0.3011,71.76,83.56,0.281
16,0.3017,71.3,83.25,0.2786
17,0.2905,71.43,83.33,0.2855
18,0.2843,71.9,83.65,0.2678
19,0.286,72.05,83.76,0.2685
20,0.2859,73.37,84.64,0.2607
