epoch,train_loss,val_iou,val_dice,val_loss
1,0.4288,47.13,64.06,0.4114
2,0.3586,56.08,71.86,0.3567
3,0.3231,59.01,74.22,0.2957
4,0.3047,60.28,75.22,0.2936
5,0.2906,62.47,76.9,0.2696
6,0.2823,61.28,75.99,0.2839
7,0.2776,62.09,76.61,0.2664
8,0.2708,64.54,78.45,0.2493
9,0.2672,65.45,79.11,0.2484
10,0.2604,62.45,76.88,0.2608
11,0.2564,59.9,74.93,0.2786
12,0.2532,67.99,80.95,0.2264
13,0.2533,63.45,77.64,0.258
14,0.2597,66.59,79.95,0.2388
15,0.241,67.05,80.27,0.2329
16,0.254,64.66,78.54,0.245
17,0.2427,68.6,81.38,0.22
18,0.2349,68.39,81.23,0.2247
19,0.2409,64.97,78.77,0.2598
20,0.2416,67.34,80.49,0.2381
