epoch,train_loss,val_iou,val_dice,val_loss
1,0.05,51.97,68.39,0.0498
2,0.0464,41.13,58.29,0.0424
3,0.0438,26.3,41.65,0.0454
4,0.0422,48.48,65.3,0.041
5,0.0402,46.31,63.31,0.037
6,0.0393,44.69,61.78,0.0377
7,0.0383,38.12,55.2,0.0375
8,0.0373,25.53,40.67,0.0463
9,0.0374,60.17,75.14,0.0331
10,0.0361,50.5,67.11,0.0353
11,0.036,57.13,72.71,0.0366
12,0.0348,59.53,74.63,0.0323
13,0.0346,52.52,68.87,0.0341
14,0.0342,46.96,63.91,0.0347
15,0.0344,60.37,75.28,0.0312
16,0.033,48.96,65.74,0.0328
17,0.0332,58.68,73.96,0.0308
18,0.0323,62.2,76.7,0.0295
19,0.0322,56.0,71.79,0.0305
20,0.0319,63.42,77.62,0.028
