epoch,train_loss,val_iou,val_dice,val_loss
1,0.458,64.37,78.32,0.3617
2,0.3401,70.53,82.72,0.2989
3,0.2966,72.63,84.15,0.2795
4,0.2733,71.96,83.69,0.2726
5,0.2575,74.23,85.21,0.2635
6,0.241,75.08,85.77,0.2475
7,0.2287,73.77,84.91,0.2557
8,0.2191,75.99,86.35,0.2389
9,0.215,76.02,86.37,0.2347
10,0.2087,76.32,86.57,0.234
11,0.2006,77.38,87.25,0.2309
12,0.2008,76.11,86.43,0.2281
13,0.1909,76.93,86.96,0.2272
14,0.1894,76.99,87.0,0.2285
15,0.1853,77.46,87.3,0.2226
16,0.1779,78.25,87.8,0.2203
17,0.1763,77.97,87.62,0.2212
18,0.1737,78.03,87.66,0.2235
19,0.1699,77.68,87.44,0.22
20,0.1729,78.59,88.01,0.2221
