epoch,train_loss,val_iou,val_dice,val_loss
1,0.4221,69.17,81.77,0.3023
2,0.3232,71.52,83.39,0.2772
3,0.2926,74.13,85.14,0.2571
4,0.2686,75.81,86.24,0.2471
5,0.2501,76.59,86.75,0.2381
6,0.2377,76.74,86.84,0.2343
7,0.2292,76.43,86.64,0.2327
8,0.2129,77.72,87.47,0.2289
9,0.2056,77.72,87.46,0.2299
10,0.2001,77.65,87.42,0.2278
11,0.1979,78.14,87.73,0.2261
12,0.1924,78.6,88.02,0.2193
13,0.1865,78.55,87.99,0.2202
14,0.1807,78.35,87.86,0.2278
15,0.1796,78.74,88.11,0.2148
16,0.1742,79.04,88.29,0.2182
17,0.1745,79.47,88.56,0.215
18,0.17,79.19,88.39,0.2141
19,0.1673,79.04,88.29,0.2195
20,0.1653,79.58,88.63,0.2104
