epoch,train_loss,val_iou,val_dice,val_loss
1,0.5156,68.57,81.35,0.3664
2,0.3493,73.71,84.87,0.2957
3,0.2908,76.23,86.51,0.2594
4,0.2617,77.0,87.01,0.2422
5,0.2438,77.75,87.48,0.2336
6,0.2289,77.74,87.48,0.2284
7,0.222,77.47,87.3,0.2264
8,0.2049,78.55,87.99,0.2203
9,0.2022,79.3,88.45,0.2145
10,0.1903,78.37,87.87,0.2144
11,0.1857,77.83,87.53,0.2188
12,0.1816,79.01,88.28,0.2108
13,0.1726,79.59,88.63,0.2106
14,0.1692,80.39,89.13,0.199
15,0.1656,78.78,88.13,0.2156
16,0.1621,80.02,88.9,0.2057
17,0.1591,79.29,88.45,0.2075
18,0.1559,80.05,88.92,0.2004
19,0.1522,79.93,88.85,0.1972
20,0.1483,79.91,88.83,0.2055
