epoch,train_loss,val_iou,val_dice,val_loss
1,0.4691,68.56,81.35,0.3489
2,0.3223,74.57,85.43,0.2767
3,0.2755,75.97,86.34,0.2517
4,0.2572,76.97,86.99,0.2393
5,0.2362,76.75,86.85,0.2382
6,0.2225,76.99,87.0,0.231
7,0.212,76.72,86.83,0.236
8,0.207,78.01,87.64,0.2191
9,0.1968,78.45,87.92,0.2201
10,0.1966,75.43,85.99,0.2646
11,0.1943,79.31,88.46,0.2119
12,0.1776,79.48,88.57,0.2109
13,0.1742,79.4,88.51,0.2124
14,0.1711,79.2,88.39,0.2078
15,0.1626,79.22,88.4,0.2141
16,0.1546,78.92,88.22,0.2196
17,0.1542,77.49,87.32,0.225
18,0.1574,76.48,86.67,0.2401
19,0.1548,78.79,88.14,0.2155
20,0.1481,78.69,88.07,0.2118
