deney,asama,model,encoder,pretrained,loss,augmentation,seed,epochs,img_size,batch,lr,parametre,val_iou,val_dice,test_iou,test_dice,test_iou_goruntu,test_dice_goruntu,test_piksel_acc,test_precision,test_recall,train_iou,overfit_farki,test_loss,en_iyi_val_iou,en_iyi_epoch,sure_sn,cihaz,notlar
baseline_unet,Baseline,UNet,-,False,BCE,yok,27,20,256,16,0.001,7763041,69.35,81.9,71.28,83.23,68.47,78.51,89.71,89.82,77.54,69.49,0.15,0.2619,71.04,18,645.88,GPU,"baseline - sifirdan U-Net, BCE loss, augmentation yok"
loss_BCE,A1 Loss,UNet,-,False,BCE,yok,27,20,256,16,0.001,7763041,69.68,82.13,71.42,83.33,67.74,78.0,89.9,91.36,76.59,69.82,0.14,0.2573,70.85,18,649.38,GPU,A1 - loss fonksiyonu: BCE
loss_Dice,A1 Loss,UNet,-,False,Dice,yok,27,20,256,16,0.001,7763041,67.34,80.49,68.59,81.37,67.76,78.35,87.81,81.93,80.82,67.17,-0.18,0.2166,68.6,17,629.11,GPU,A1 - loss fonksiyonu: Dice
loss_BCE_Dice,A1 Loss,UNet,-,False,BCE+Dice,yok,27,20,256,16,0.001,7763041,73.37,84.64,74.25,85.22,72.98,82.33,90.45,86.88,83.63,73.39,0.02,0.2511,73.37,20,634.78,GPU,A1 - loss fonksiyonu: BCE+Dice
loss_Focal,A1 Loss,UNet,-,False,Focal,yok,27,20,256,16,0.001,7763041,63.42,77.62,63.52,77.69,55.64,65.56,87.55,94.82,65.8,62.56,-0.86,0.0275,63.42,20,638.11,GPU,A1 - loss fonksiyonu: Focal
aug_yok,A2 Augmentation,UNet,-,False,BCE+Dice,yok,27,20,256,16,0.001,7763041,70.13,82.44,71.92,83.67,70.59,80.47,89.19,83.26,84.07,70.83,0.7,0.2692,72.54,18,642.62,GPU,A2 - augmentation profili: yok (loss sabit: BCE+Dice)
aug_hafif,A2 Augmentation,UNet,-,False,BCE+Dice,hafif,27,20,256,16,0.001,7763041,70.35,82.6,72.07,83.77,69.59,79.83,89.62,86.33,81.36,69.74,-0.61,0.2683,70.44,18,647.8,GPU,A2 - augmentation profili: hafif (loss sabit: BCE+Dice)
aug_orta,A2 Augmentation,UNet,-,False,BCE+Dice,orta,27,20,256,16,0.001,7763041,69.87,82.27,71.52,83.39,70.13,80.19,89.21,84.52,82.3,69.56,-0.32,0.2708,71.22,18,649.71,GPU,A2 - augmentation profili: orta (loss sabit: BCE+Dice)
aug_guclu,A2 Augmentation,UNet,-,False,BCE+Dice,guclu,27,20,256,16,0.001,7763041,69.27,81.85,70.83,82.93,69.31,79.45,89.24,86.84,79.35,68.74,-0.53,0.2842,69.27,20,651.75,GPU,A2 - augmentation profili: guclu (loss sabit: BCE+Dice)
enc_resnet34_scratch,A3 Encoder,Unet,resnet34,False,BCE+Dice,hafif,27,20,256,16,0.001,24436369,68.84,81.55,69.94,82.31,67.13,77.59,88.26,81.68,82.95,68.03,-0.81,0.2943,71.86,18,399.41,GPU,"A3 - resnet34 encoder, SIFIRDAN (referans satiri)"
enc_resnet34_pretrained,A3 Encoder,Unet,resnet34,True,BCE+Dice,hafif,27,20,256,16,0.0001,24436369,79.79,88.76,81.55,89.84,78.25,85.96,93.28,89.49,90.18,85.37,5.57,0.1727,80.73,17,378.44,GPU,"A3 - resnet34 encoder, ImageNet pretrained"
enc_efficientnet_b0_pretrained,A3 Encoder,Unet,efficientnet-b0,True,BCE+Dice,hafif,27,20,256,16,0.0001,6251469,80.23,89.03,81.8,89.99,78.59,86.41,93.52,91.64,88.41,87.05,6.81,0.1752,80.34,16,361.76,GPU,"A3 - efficientnet-b0 encoder, ImageNet pretrained"
enc_mobilenet_v2_pretrained,A3 Encoder,Unet,mobilenet_v2,True,BCE+Dice,hafif,27,20,256,16,0.0001,6628945,77.86,87.55,80.22,89.02,77.32,85.44,92.84,89.94,88.12,84.65,6.78,0.1909,79.23,13,316.15,GPU,"A3 - mobilenet_v2 encoder, ImageNet pretrained"
mim_Unet,A4 Mimari,Unet,efficientnet-b0,True,BCE+Dice,hafif,27,20,256,16,0.0001,6251469,79.91,88.83,82.75,90.56,79.25,87.04,93.84,91.48,89.66,86.83,6.92,0.1702,80.39,14,375.9,GPU,A4 - Unet decoder (efficientnet-b0 encoder sabit)
mim_UnetPlusPlus,A4 Mimari,UnetPlusPlus,efficientnet-b0,True,BCE+Dice,hafif,27,20,256,16,0.0001,6569581,78.69,88.07,82.92,90.66,79.26,86.94,93.92,91.79,89.56,85.62,6.94,0.1677,79.48,12,542.71,GPU,A4 - UnetPlusPlus decoder (efficientnet-b0 encoder sabit)
mim_DeepLabV3Plus,A4 Mimari,DeepLabV3Plus,efficientnet-b0,True,BCE+Dice,hafif,27,20,256,16,0.0001,4907469,78.59,88.01,80.38,89.12,76.98,85.25,92.95,90.64,87.66,85.01,6.42,0.1854,78.59,20,301.67,GPU,A4 - DeepLabV3Plus decoder (efficientnet-b0 encoder sabit)
mim_FPN,A4 Mimari,FPN,efficientnet-b0,True,BCE+Dice,hafif,27,20,256,16,0.0001,5759485,79.58,88.63,81.33,89.7,77.38,85.75,93.2,89.52,89.88,85.15,5.57,0.1793,79.58,20,285.49,GPU,A4 - FPN decoder (efficientnet-b0 encoder sabit)
