epoch,train_loss,val_miou,val_dice,val_piksel_acc,lr
1,1.4517,8.94,12.32,77.66,0.009551
2,1.1388,12.51,17.19,78.66,0.009098
3,0.9794,18.15,24.9,81.79,0.008642
4,0.8631,26.52,36.01,82.11,0.008183
5,0.7787,29.15,39.1,82.86,0.007721
6,0.7182,32.39,42.77,83.8,0.007257
7,0.6267,40.11,53.44,85.01,0.006789
8,0.615,40.49,52.71,85.17,0.006317
9,0.5576,38.16,51.17,84.68,0.005841
10,0.4963,44.24,56.89,86.58,0.005362
11,0.4485,45.06,57.63,86.52,0.004877
12,0.3761,50.37,63.98,87.14,0.004387
13,0.3621,49.41,62.5,88.73,0.00389
14,0.3326,46.02,59.65,86.58,0.003387
15,0.2887,52.52,65.79,87.98,0.002875
16,0.2673,58.58,71.47,90.34,0.002352
17,0.246,58.32,71.34,89.9,0.001816
18,0.2249,60.14,72.05,90.68,0.001262
19,0.2054,61.45,73.49,91.12,0.000678
20,0.2055,61.24,73.1,90.45,6e-06
