epoch,train_loss,val_miou,val_dice,val_piksel_acc,lr
1,1.2759,5.57,7.51,75.19,0.009551
2,0.9745,12.54,17.78,78.71,0.009098
3,0.8505,15.35,21.77,79.8,0.008642
4,0.7054,20.48,28.27,80.52,0.008183
5,0.6192,27.12,37.54,83.49,0.007721
6,0.5309,34.7,45.58,85.72,0.007257
7,0.44,38.44,51.13,85.46,0.006789
8,0.3942,43.66,56.72,87.09,0.006317
9,0.3278,35.31,47.53,83.94,0.005841
10,0.2835,45.11,59.07,87.69,0.005362
11,0.2157,47.08,60.53,87.99,0.004877
12,0.1851,48.74,61.69,88.69,0.004387
13,0.1688,48.3,62.27,88.49,0.00389
14,0.1551,48.85,62.3,88.07,0.003387
15,0.1286,51.74,65.36,88.69,0.002875
16,0.1152,53.39,67.14,89.5,0.002352
17,0.1019,55.07,68.56,89.55,0.001816
18,0.0928,53.5,67.27,89.43,0.001262
19,0.0891,55.15,68.6,89.82,0.000678
20,0.0854,53.57,67.24,89.52,6e-06
