epoch,train_loss,val_miou,val_dice,val_piksel_acc,lr
1,1.5913,5.95,8.03,74.67,0.009551
2,1.2206,9.41,12.66,77.49,0.009098
3,1.0804,15.94,21.71,79.59,0.008642
4,0.9135,21.56,30.18,81.06,0.008183
5,0.8241,27.62,37.01,83.36,0.007721
6,0.734,33.22,44.46,83.62,0.007257
7,0.6639,35.22,48.44,82.08,0.006789
8,0.5825,39.86,52.87,81.86,0.006317
9,0.5589,40.74,53.75,84.41,0.005841
10,0.4939,47.38,61.14,87.26,0.005362
11,0.447,47.44,60.46,87.33,0.004877
12,0.3634,51.84,64.87,88.44,0.004387
13,0.3516,52.51,65.88,88.59,0.00389
14,0.3243,54.5,67.52,89.28,0.003387
15,0.2775,55.42,68.99,89.53,0.002875
16,0.2751,55.37,68.8,89.89,0.002352
17,0.2379,58.76,71.27,90.11,0.001816
18,0.2101,57.8,70.53,89.71,0.001262
19,0.1977,60.4,72.45,90.37,0.000678
20,0.1865,57.92,70.55,90.01,6e-06
