epoch,train_loss,val_miou,val_dice,val_piksel_acc,lr
1,1.8567,10.14,13.69,77.17,0.009551
2,1.4595,20.91,28.94,80.95,0.009098
3,1.2321,23.79,32.76,82.95,0.008642
4,1.0892,33.96,45.67,83.64,0.008183
5,0.9625,30.23,41.13,82.05,0.007721
6,0.9351,36.91,50.1,84.12,0.007257
7,0.8028,39.72,52.28,84.97,0.006789
8,0.7568,44.15,56.77,87.25,0.006317
9,0.6796,48.21,61.18,88.23,0.005841
10,0.6408,44.2,58.31,86.29,0.005362
11,0.5912,50.8,64.64,88.31,0.004877
12,0.516,50.3,63.94,88.57,0.004387
13,0.4905,52.68,66.48,88.39,0.00389
14,0.4607,58.72,71.86,90.65,0.003387
15,0.4006,61.48,73.65,90.81,0.002875
16,0.3696,62.67,75.14,90.66,0.002352
17,0.3409,61.17,73.94,90.78,0.001816
18,0.3288,62.78,75.1,91.63,0.001262
19,0.3114,63.14,75.13,91.68,0.000678
20,0.2937,63.97,75.71,91.77,6e-06
