epoch,train_loss,val_miou,val_dice,val_piksel_acc,lr
1,1.1755,8.1,10.97,76.28,0.009551
2,0.8654,13.44,18.82,79.05,0.009098
3,0.726,24.67,33.53,82.86,0.008642
4,0.5656,31.74,41.86,84.84,0.008183
5,0.4933,35.59,47.78,85.26,0.007721
6,0.4049,40.58,52.89,86.25,0.007257
7,0.3213,41.81,55.47,85.15,0.006789
8,0.2632,44.47,58.06,86.69,0.006317
9,0.2014,48.32,61.49,88.41,0.005841
10,0.165,46.97,61.15,87.91,0.005362
11,0.1343,47.2,61.42,87.86,0.004877
12,0.1098,49.97,64.34,88.38,0.004387
13,0.1005,49.75,63.97,88.2,0.00389
14,0.0866,52.58,66.53,89.3,0.003387
15,0.0749,51.04,65.36,88.66,0.002875
16,0.069,52.01,65.94,89.16,0.002352
17,0.0645,52.46,66.59,89.18,0.001816
18,0.0614,52.2,66.24,89.26,0.001262
19,0.0593,53.41,67.26,89.43,0.000678
20,0.0581,51.98,66.09,89.14,6e-06
