epoch,train_loss,val_miou,val_dice,val_piksel_acc,lr
1,1.4718,6.92,9.3,76.26,0.01
2,1.1258,11.16,15.62,77.0,0.01
3,0.9916,19.98,27.23,81.1,0.01
4,0.8428,26.04,35.29,83.29,0.01
5,0.7774,35.16,47.45,84.5,0.01
6,0.7347,26.79,37.37,82.1,0.01
7,0.6942,37.49,50.36,84.99,0.01
8,0.6769,36.12,47.62,83.23,0.01
9,0.6108,32.78,44.58,82.18,0.01
10,0.5926,30.99,43.38,83.08,0.01
11,0.5546,38.78,50.74,84.7,0.01
12,0.5625,36.95,49.6,84.6,0.01
13,0.4735,41.23,54.76,85.25,0.01
14,0.5069,39.22,52.74,84.46,0.01
15,0.4609,36.4,49.61,81.96,0.01
16,0.4287,38.65,52.23,84.34,0.01
17,0.4444,37.47,50.62,81.1,0.01
18,0.4479,42.42,55.87,85.23,0.01
19,0.3677,46.66,60.2,87.24,0.01
20,0.4304,38.8,51.72,85.08,0.01
