epoch,train_loss,val_miou,val_dice,val_piksel_acc,lr
1,1.6675,3.67,4.31,73.99,0.009551
2,1.511,3.55,4.1,73.07,0.009098
3,1.5033,3.68,4.36,72.86,0.008642
4,1.4542,3.58,4.16,73.69,0.008183
5,1.4472,3.94,4.83,72.65,0.007721
6,1.4382,3.85,4.69,72.87,0.007257
7,1.4155,4.01,5.0,72.7,0.006789
8,1.4026,3.98,4.87,73.44,0.006317
9,1.3827,4.32,5.45,71.77,0.005841
10,1.3888,4.41,5.66,72.56,0.005362
11,1.349,4.17,5.33,72.83,0.004877
12,1.3221,4.68,6.16,71.9,0.004387
13,1.342,5.19,6.97,72.34,0.00389
14,1.2898,4.0,4.97,73.06,0.003387
15,1.2884,5.87,8.15,72.63,0.002875
16,1.275,5.23,7.05,72.45,0.002352
17,1.2498,6.2,8.67,73.1,0.001816
18,1.2428,5.69,7.85,73.74,0.001262
19,1.2151,6.17,8.63,73.93,0.000678
20,1.2092,6.55,9.34,73.54,6e-06
