deney,sinif,iou,dice,precision,recall,piksel_orani
ref_hazir_voc,arkaplan,93.21,96.48,97.38,95.61,73.718
ref_hazir_voc,aeroplane,93.24,96.5,98.06,94.99,0.829
ref_hazir_voc,bicycle,38.15,55.23,39.64,91.03,0.404
ref_hazir_voc,bird,82.13,90.19,85.48,95.44,0.826
ref_hazir_voc,boat,64.06,78.09,75.55,80.81,0.481
ref_hazir_voc,bottle,64.31,78.28,81.45,75.34,0.971
ref_hazir_voc,bus,92.17,95.93,95.46,96.4,1.719
ref_hazir_voc,car,64.38,78.33,81.6,75.32,1.582
ref_hazir_voc,cat,93.06,96.41,96.64,96.18,2.772
ref_hazir_voc,chair,47.23,64.16,57.2,73.05,0.74
ref_hazir_voc,cow,84.25,91.45,89.77,93.2,1.002
ref_hazir_voc,diningtable,63.84,77.93,71.77,85.24,1.197
ref_hazir_voc,dog,87.0,93.05,94.06,92.06,1.981
ref_hazir_voc,horse,79.62,88.65,87.72,89.6,1.119
ref_hazir_voc,motorbike,88.41,93.85,92.17,95.58,1.221
ref_hazir_voc,person,88.92,94.13,92.66,95.66,4.413
ref_hazir_voc,pottedplant,63.03,77.32,76.07,78.62,0.485
ref_hazir_voc,sheep,87.62,93.4,94.02,92.79,0.756
ref_hazir_voc,sofa,56.53,72.23,66.35,79.25,1.136
ref_hazir_voc,train,80.08,88.94,84.89,93.4,1.865
ref_hazir_voc,tvmonitor,73.34,84.62,94.53,76.6,0.784
bolut_baseline,arkaplan,91.07,95.33,93.93,96.77,73.718
bolut_baseline,aeroplane,79.57,88.62,96.14,82.19,0.829
bolut_baseline,bicycle,39.07,56.19,45.31,73.94,0.404
bolut_baseline,bird,67.04,80.27,88.54,73.41,0.826
bolut_baseline,boat,50.73,67.31,81.79,57.19,0.481
bolut_baseline,bottle,54.87,70.86,79.94,63.64,0.971
bolut_baseline,bus,74.07,85.1,90.43,80.36,1.719
bolut_baseline,car,70.66,82.8,90.21,76.52,1.582
bolut_baseline,cat,76.5,86.68,85.01,88.43,2.772
bolut_baseline,chair,18.16,30.74,28.24,33.73,0.74
bolut_baseline,cow,36.65,53.64,55.46,51.93,1.002
bolut_baseline,diningtable,51.93,68.36,75.89,62.19,1.197
bolut_baseline,dog,62.8,77.15,75.32,79.08,1.981
bolut_baseline,horse,52.34,68.71,82.48,58.88,1.119
bolut_baseline,motorbike,54.79,70.79,84.48,60.92,1.221
bolut_baseline,person,76.86,86.92,88.33,85.56,4.413
bolut_baseline,pottedplant,31.59,48.02,61.12,39.54,0.485
bolut_baseline,sheep,43.96,61.07,65.5,57.2,0.756
bolut_baseline,sofa,31.39,47.78,56.37,41.46,1.136
bolut_baseline,train,63.0,77.3,83.33,72.09,1.865
bolut_baseline,tvmonitor,57.51,73.03,69.22,77.27,0.784
bolut_aug_hafif,arkaplan,91.4,95.51,94.56,96.47,73.718
bolut_aug_hafif,aeroplane,78.65,88.05,95.0,82.05,0.829
