deney,sinif,ap50,ap50_95,precision,recall,f1,gercek_nesne,tahmin
ref_coco_egitimsiz,aeroplane,91.03,70.33,31.91,93.75,47.62,48,144
ref_coco_egitimsiz,bicycle,90.64,64.53,19.51,96.55,32.46,58,294
ref_coco_egitimsiz,bird,85.47,57.57,36.73,93.75,52.79,96,248
ref_coco_egitimsiz,boat,58.06,31.52,12.85,86.67,22.38,75,515
ref_coco_egitimsiz,bottle,73.42,47.97,17.06,86.32,28.49,117,594
ref_coco_egitimsiz,bus,88.57,70.39,32.31,95.45,48.28,44,134
ref_coco_egitimsiz,car,84.41,53.15,22.51,94.38,36.35,249,1075
ref_coco_egitimsiz,cat,93.37,64.93,50.63,98.36,66.85,122,237
ref_coco_egitimsiz,chair,69.93,43.86,11.67,93.81,20.76,210,1720
ref_coco_egitimsiz,cow,83.21,57.81,20.18,93.75,33.21,48,230
ref_coco_egitimsiz,diningtable,59.63,34.34,7.79,96.23,14.41,53,661
ref_coco_egitimsiz,dog,83.44,57.35,36.13,91.91,51.87,136,346
ref_coco_egitimsiz,horse,87.31,55.68,28.0,92.11,42.94,76,251
ref_coco_egitimsiz,motorbike,86.45,55.4,21.12,92.75,34.41,69,307
ref_coco_egitimsiz,person,88.67,58.38,20.19,95.69,33.34,742,3610
ref_coco_egitimsiz,pottedplant,56.59,31.22,9.89,80.6,17.62,67,552
ref_coco_egitimsiz,sheep,89.3,65.21,29.73,97.06,45.52,68,230
ref_coco_egitimsiz,sofa,74.95,48.38,9.49,92.86,17.22,42,421
ref_coco_egitimsiz,train,87.57,66.22,36.84,94.23,52.97,52,135
ref_coco_egitimsiz,tvmonitor,88.01,58.78,31.25,92.59,46.73,54,162
tespit_baseline,aeroplane,75.2,31.94,10.36,89.58,18.57,48,416
tespit_baseline,bicycle,62.28,31.08,9.38,91.38,17.01,58,568
tespit_baseline,bird,66.57,27.34,12.41,85.42,21.66,96,662
tespit_baseline,boat,22.55,6.28,3.59,69.33,6.83,75,1449
tespit_baseline,bottle,37.96,14.34,6.77,75.21,12.43,117,1299
tespit_baseline,bus,58.89,33.27,6.52,72.73,11.96,44,492
tespit_baseline,car,60.45,28.68,9.18,82.33,16.53,249,2246
tespit_baseline,cat,80.61,42.11,18.78,93.44,31.28,122,607
tespit_baseline,chair,38.07,15.12,6.49,74.29,11.94,210,2435
tespit_baseline,cow,38.28,16.75,7.04,72.92,12.84,48,499
tespit_baseline,diningtable,23.31,8.14,4.8,73.58,9.01,53,819
tespit_baseline,dog,67.54,32.97,15.03,91.18,25.81,136,825
tespit_baseline,horse,46.76,19.57,12.94,82.89,22.38,76,487
tespit_baseline,motorbike,62.29,30.83,10.11,81.16,17.98,69,555
tespit_baseline,person,68.56,28.96,11.92,89.22,21.03,742,5597
tespit_baseline,pottedplant,19.41,5.47,3.05,58.21,5.8,67,1282
tespit_baseline,sheep,49.78,20.25,6.18,83.82,11.52,68,928
tespit_baseline,sofa,36.75,15.67,4.6,76.19,8.67,42,705
tespit_baseline,train,59.14,28.78,7.0,84.62,12.92,52,630
tespit_baseline,tvmonitor,55.15,22.32,9.73,85.19,17.46,54,475
tespit_coco_ft,aeroplane,91.18,65.27,45.0,93.75,60.81,48,101
tespit_coco_ft,bicycle,91.73,60.34,31.25,94.83,47.01,58,180
tespit_coco_ft,bird,81.28,51.22,47.43,86.46,61.25,96,177
tespit_coco_ft,boat,51.66,27.19,22.58,74.67,34.67,75,253
tespit_coco_ft,bottle,68.84,42.16,33.33,78.63,46.82,117,278
tespit_coco_ft,bus,86.51,66.15,33.33,90.91,48.78,44,121
tespit_coco_ft,car,84.47,55.2,46.03,88.35,60.52,249,495
tespit_coco_ft,cat,91.94,61.76,41.99,96.72,58.56,122,281
tespit_coco_ft,chair,65.72,38.51,26.15,78.57,39.24,210,651
tespit_coco_ft,cow,70.44,44.52,26.9,81.25,40.41,48,151
tespit_coco_ft,diningtable,67.02,39.63,16.84,90.57,28.4,53,289
tespit_coco_ft,dog,80.96,53.89,35.13,91.18,50.72,136,353
tespit_coco_ft,horse,80.46,51.77,40.88,85.53,55.32,76,160
tespit_coco_ft,motorbike,76.63,47.52,31.49,82.61,45.6,69,182
tespit_coco_ft,person,86.45,55.08,47.91,90.97,62.76,742,1459
tespit_coco_ft,pottedplant,44.85,22.84,18.29,70.15,29.01,67,262
tespit_coco_ft,sheep,80.36,51.23,38.36,89.71,53.74,68,164
tespit_coco_ft,sofa,69.75,48.77,25.74,83.33,39.33,42,140
tespit_coco_ft,train,85.94,59.65,38.84,90.38,54.34,52,122
tespit_coco_ft,tvmonitor,85.78,57.61,41.8,94.44,57.95,54,123
tespit_coco_ft_katman5,aeroplane,89.52,63.72,41.12,91.67,56.77,48,108
tespit_coco_ft_katman5,bicycle,90.44,62.85,31.43,94.83,47.21,58,178
tespit_coco_ft_katman5,bird,79.74,49.18,41.87,88.54,56.86,96,204
