deney,profil,sinif,sinif_tipi,egitim_ornegi,test_destek,precision,recall,f1
MLP_d0_dengesiz_P1_pdf,P1_pdf,0,cogunluk,3000,980,85.33,99.69,91.95
MLP_d0_dengesiz_P1_pdf,P1_pdf,1,cogunluk,3000,1135,90.62,99.56,94.88
MLP_d0_dengesiz_P1_pdf,P1_pdf,2,orta,500,1032,92.51,92.15,92.33
MLP_d0_dengesiz_P1_pdf,P1_pdf,3,orta,500,1010,83.25,95.94,89.14
MLP_d0_dengesiz_P1_pdf,P1_pdf,4,orta,500,982,89.86,95.62,92.65
MLP_d0_dengesiz_P1_pdf,P1_pdf,5,azinlik,150,892,90.26,77.91,83.63
MLP_d0_dengesiz_P1_pdf,P1_pdf,6,azinlik,150,958,98.58,87.16,92.52
MLP_d0_dengesiz_P1_pdf,P1_pdf,7,orta,500,1028,94.51,92.12,93.3
MLP_d0_dengesiz_P1_pdf,P1_pdf,8,azinlik,150,974,95.13,78.23,85.86
MLP_d0_dengesiz_P1_pdf,P1_pdf,9,orta,500,1009,95.06,89.59,92.24
MLP_d0_dengesiz_P2_agir,P2_agir,0,cogunluk,3000,980,88.93,99.18,93.78
MLP_d0_dengesiz_P2_agir,P2_agir,1,cogunluk,3000,1135,92.98,99.21,95.99
MLP_d0_dengesiz_P2_agir,P2_agir,2,orta,300,1032,94.25,88.95,91.53
MLP_d0_dengesiz_P2_agir,P2_agir,3,orta,300,1010,86.58,94.55,90.39
MLP_d0_dengesiz_P2_agir,P2_agir,4,orta,300,982,85.98,92.46,89.11
MLP_d0_dengesiz_P2_agir,P2_agir,5,azinlik,100,892,90.98,78.03,84.01
MLP_d0_dengesiz_P2_agir,P2_agir,6,azinlik,100,958,97.26,85.07,90.76
MLP_d0_dengesiz_P2_agir,P2_agir,7,orta,300,1028,92.62,92.8,92.71
MLP_d0_dengesiz_P2_agir,P2_agir,8,azinlik,100,974,90.03,79.77,84.59
MLP_d0_dengesiz_P2_agir,P2_agir,9,orta,300,1009,86.5,91.48,88.92
MLP_d0_dengesiz_P3_5k,P3_5k,0,cogunluk,1500,980,93.63,98.98,96.23
MLP_d0_dengesiz_P3_5k,P3_5k,1,cogunluk,1500,1135,92.99,99.3,96.04
MLP_d0_dengesiz_P3_5k,P3_5k,2,orta,300,1032,91.22,90.6,90.91
MLP_d0_dengesiz_P3_5k,P3_5k,3,orta,300,1010,89.23,90.2,89.71
