deney,model,senaryo,sinif,test_destek,precision,recall,f1
ResNet18_1000,ResNet18,dengeli,0,980,96.09,97.86,96.97
ResNet18_1000,ResNet18,dengeli,1,1135,99.03,98.68,98.85
ResNet18_1000,ResNet18,dengeli,2,1032,93.47,95.74,94.59
ResNet18_1000,ResNet18,dengeli,3,1010,98.7,90.1,94.2
ResNet18_1000,ResNet18,dengeli,4,982,89.34,95.62,92.38
ResNet18_1000,ResNet18,dengeli,5,892,93.0,96.86,94.89
ResNet18_1000,ResNet18,dengeli,6,958,96.0,95.2,95.6
ResNet18_1000,ResNet18,dengeli,7,1028,94.02,94.84,94.43
ResNet18_1000,ResNet18,dengeli,8,974,96.04,92.09,94.03
ResNet18_1000,ResNet18,dengeli,9,1009,93.04,91.38,92.2
ResNet18_3000,ResNet18,dengeli,0,980,96.4,98.37,97.37
ResNet18_3000,ResNet18,dengeli,1,1135,98.6,99.03,98.81
ResNet18_3000,ResNet18,dengeli,2,1032,97.16,96.03,96.59
ResNet18_3000,ResNet18,dengeli,3,1010,99.57,91.88,95.57
ResNet18_3000,ResNet18,dengeli,4,982,98.94,94.81,96.83
ResNet18_3000,ResNet18,dengeli,5,892,95.55,91.37,93.41
ResNet18_3000,ResNet18,dengeli,6,958,90.38,99.06,94.52
ResNet18_3000,ResNet18,dengeli,7,1028,98.12,96.5,97.3
ResNet18_3000,ResNet18,dengeli,8,974,91.56,96.92,94.16
ResNet18_3000,ResNet18,dengeli,9,1009,95.6,96.83,96.21
ResNet18_5000,ResNet18,dengeli,0,980,99.48,97.14,98.3
ResNet18_5000,ResNet18,dengeli,1,1135,99.73,98.41,99.07
ResNet18_5000,ResNet18,dengeli,2,1032,95.97,99.22,97.57
ResNet18_5000,ResNet18,dengeli,3,1010,99.39,96.73,98.04
ResNet18_5000,ResNet18,dengeli,4,982,98.38,98.98,98.68
ResNet18_5000,ResNet18,dengeli,5,892,96.83,99.44,98.12
ResNet18_5000,ResNet18,dengeli,6,958,97.63,98.85,98.24
ResNet18_5000,ResNet18,dengeli,7,1028,98.9,95.82,97.33
ResNet18_5000,ResNet18,dengeli,8,974,93.17,99.38,96.17
ResNet18_5000,ResNet18,dengeli,9,1009,98.34,93.95,96.1
ResNet18_10000,ResNet18,dengeli,0,980,97.31,99.59,98.44
ResNet18_10000,ResNet18,dengeli,1,1135,99.56,98.85,99.2
ResNet18_10000,ResNet18,dengeli,2,1032,98.83,98.64,98.74
ResNet18_10000,ResNet18,dengeli,3,1010,99.5,98.32,98.9
ResNet18_10000,ResNet18,dengeli,4,982,99.08,98.68,98.88
ResNet18_10000,ResNet18,dengeli,5,892,99.19,96.64,97.9
ResNet18_10000,ResNet18,dengeli,6,958,98.14,99.06,98.6
ResNet18_10000,ResNet18,dengeli,7,1028,98.44,98.05,98.25
ResNet18_10000,ResNet18,dengeli,8,974,98.04,97.64,97.84
ResNet18_10000,ResNet18,dengeli,9,1009,96.03,98.41,97.21
ResNet18_60000,ResNet18,dengeli,0,980,99.08,99.29,99.18
ResNet18_60000,ResNet18,dengeli,1,1135,99.82,98.94,99.38
ResNet18_60000,ResNet18,dengeli,2,1032,99.41,98.74,99.08
ResNet18_60000,ResNet18,dengeli,3,1010,98.82,99.41,99.11
ResNet18_60000,ResNet18,dengeli,4,982,99.49,98.57,99.03
ResNet18_60000,ResNet18,dengeli,5,892,96.94,99.55,98.23
ResNet18_60000,ResNet18,dengeli,6,958,99.58,97.91,98.74
ResNet18_60000,ResNet18,dengeli,7,1028,98.65,99.51,99.08
ResNet18_60000,ResNet18,dengeli,8,974,98.68,99.69,99.18
ResNet18_60000,ResNet18,dengeli,9,1009,98.4,97.52,97.96
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,0,980,93.14,99.8,96.35
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,1,1135,96.51,99.91,98.18
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,2,1032,96.36,97.38,96.87
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,3,1010,98.99,97.03,98.0
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,4,982,92.74,98.88,95.71
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,5,892,98.61,95.52,97.04
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,6,958,99.53,89.35,94.17
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,7,1028,96.64,97.86,97.25
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,8,974,96.75,91.58,94.09
ResNet18_dengesiz_P1_pdf,ResNet18,dengesiz,9,1009,97.32,97.22,97.27
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,0,980,86.55,99.8,92.7
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,1,1135,95.06,100.0,97.47
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,2,1032,98.95,91.18,94.91
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,3,1010,95.22,98.71,96.94
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,4,982,97.46,93.79,95.59
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,5,892,98.36,94.39,96.34
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,6,958,98.91,94.89,96.86
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,7,1028,94.14,96.89,95.49
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,8,974,99.34,77.1,86.82
ResNet18_dengesiz_P2_agir,ResNet18,dengesiz,9,1009,84.53,95.84,89.83
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,0,980,89.54,99.59,94.3
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,1,1135,94.27,100.0,97.05
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,2,1032,96.61,96.71,96.66
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,3,1010,99.57,90.99,95.09
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,4,982,99.23,92.46,95.73
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,5,892,98.74,88.0,93.06
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,6,958,98.91,94.47,96.64
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,7,1028,96.78,96.5,96.64
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,8,974,96.82,90.55,93.58
ResNet18_dengesiz_P3_5k,ResNet18,dengesiz,9,1009,82.84,97.62,89.63
MobileNetV2_1000,MobileNetV2,dengeli,0,980,96.72,18.06,30.44
MobileNetV2_1000,MobileNetV2,dengeli,1,1135,94.58,84.58,89.3
MobileNetV2_1000,MobileNetV2,dengeli,2,1032,52.25,60.76,56.18
MobileNetV2_1000,MobileNetV2,dengeli,3,1010,62.7,39.6,48.54
