deney,veri_sayisi,sinif,destek,precision,recall,f1
MLP_d0_1000,1000,0,980,90.37,97.65,93.87
MLP_d0_1000,1000,1,1135,94.83,98.68,96.72
MLP_d0_1000,1000,2,1032,87.86,86.92,87.38
MLP_d0_1000,1000,3,1010,83.1,89.6,86.23
MLP_d0_1000,1000,4,982,89.24,88.7,88.97
MLP_d0_1000,1000,5,892,88.2,77.91,82.74
MLP_d0_1000,1000,6,958,92.86,90.92,91.88
MLP_d0_1000,1000,7,1028,91.95,89.98,90.95
MLP_d0_1000,1000,8,974,89.14,80.9,84.82
MLP_d0_1000,1000,9,1009,84.59,88.7,86.6
MLP_d0_3000,3000,0,980,95.61,95.61,95.61
MLP_d0_3000,3000,1,1135,96.79,98.41,97.6
MLP_d0_3000,3000,2,1032,90.85,91.38,91.11
MLP_d0_3000,3000,3,1010,90.45,90.99,90.72
MLP_d0_3000,3000,4,982,84.81,94.4,89.35
MLP_d0_3000,3000,5,892,88.67,89.46,89.06
MLP_d0_3000,3000,6,958,92.76,94.89,93.81
MLP_d0_3000,3000,7,1028,96.28,88.23,92.08
MLP_d0_3000,3000,8,974,90.37,88.6,89.48
MLP_d0_3000,3000,9,1009,89.38,83.45,86.31
MLP_d0_5000,5000,0,980,93.94,98.06,95.96
MLP_d0_5000,5000,1,1135,97.35,97.0,97.18
MLP_d0_5000,5000,2,1032,93.44,91.09,92.25
MLP_d0_5000,5000,3,1010,92.24,91.78,92.01
MLP_d0_5000,5000,4,982,94.78,90.53,92.6
MLP_d0_5000,5000,5,892,92.41,90.13,91.26
MLP_d0_5000,5000,6,958,93.1,95.72,94.39
MLP_d0_5000,5000,7,1028,94.0,93.0,93.5
MLP_d0_5000,5000,8,974,88.35,91.07,89.69
MLP_d0_5000,5000,9,1009,91.09,92.17,91.63
MLP_d0_10000,10000,0,980,97.36,97.86,97.61
MLP_d0_10000,10000,1,1135,98.07,98.24,98.15
MLP_d0_10000,10000,2,1032,97.38,93.6,95.45
MLP_d0_10000,10000,3,1010,88.42,97.52,92.75
MLP_d0_10000,10000,4,982,95.56,94.3,94.93
MLP_d0_10000,10000,5,892,96.49,89.46,92.84
MLP_d0_10000,10000,6,958,95.67,96.76,96.21
MLP_d0_10000,10000,7,1028,96.61,94.26,95.42
MLP_d0_10000,10000,8,974,93.59,92.92,93.25
MLP_d0_10000,10000,9,1009,91.61,94.15,92.86
MLP_d0_60000,60000,0,980,97.59,99.08,98.33
MLP_d0_60000,60000,1,1135,99.2,98.85,99.03
MLP_d0_60000,60000,2,1032,96.58,98.55,97.55
MLP_d0_60000,60000,3,1010,97.31,96.63,96.97
MLP_d0_60000,60000,4,982,98.77,97.76,98.26
MLP_d0_60000,60000,5,892,97.21,97.76,97.48
MLP_d0_60000,60000,6,958,98.85,98.54,98.69
MLP_d0_60000,60000,7,1028,98.03,96.69,97.36
MLP_d0_60000,60000,8,974,98.14,97.33,97.73
MLP_d0_60000,60000,9,1009,96.65,97.13,96.89
MLP_d03_1000,1000,0,980,91.78,96.84,94.24
MLP_d03_1000,1000,1,1135,95.78,97.97,96.86
MLP_d03_1000,1000,2,1032,87.66,88.08,87.87
MLP_d03_1000,1000,3,1010,90.66,79.8,84.89
MLP_d03_1000,1000,4,982,88.41,90.12,89.26
MLP_d03_1000,1000,5,892,84.47,77.47,80.82
MLP_d03_1000,1000,6,958,90.5,93.42,91.94
MLP_d03_1000,1000,7,1028,92.2,87.35,89.71
MLP_d03_1000,1000,8,974,82.63,84.5,83.55
MLP_d03_1000,1000,9,1009,82.38,89.89,85.97
MLP_d03_3000,3000,0,980,94.51,96.53,95.51
MLP_d03_3000,3000,1,1135,95.0,98.77,96.85
MLP_d03_3000,3000,2,1032,94.53,88.76,91.55
MLP_d03_3000,3000,3,1010,90.92,91.19,91.05
MLP_d03_3000,3000,4,982,92.34,92.06,92.2
MLP_d03_3000,3000,5,892,86.73,91.59,89.09
